project_id,title,short_title,description,status,peers,topics,paper_titles,code_keywords,video_titles,search_keywords,papers_md,code_md,videos_md,peers_md,project_page
project01,Project 1: Attune,Attune,"A reproducible quality-control workflow for genotype data, including missingness, HWE, MAF, sex checks, ancestry checks, and relatedness.",Active,Alice Smith; John Doe; Maria Chen,Genetics; QC; PLINK; Relatedness,Genotype quality control best practices; PC-AiR ancestry inference; PC-Relate relatedness estimation,PLINK; KING; PC-AiR; PC-Relate; HWE; MAF; missingness; sex check,Genetic QC overview; Running PLINK QC; Relationship checking tutorial,genotyping quality control ancestry relatedness missingness HWE MAF,projects/project01/papers.md,projects/project01/code.md,projects/project01/videos.md,projects/project01/peers.md,projects/project01/index.md
project02,Project 2: MindScents,MindScents,"A workflow connecting brain imaging phenotypes with genomic variation, including site adjustment and reproducible GWAS workflows.",Planning,David Lee; Priya Shah; Emily Wilson,MRI; GWAS; Brain phenotypes; Imaging genetics,Imaging genetics methods; Brain phenotype GWAS; Multi-site neuroimaging harmonization,MRI phenotypes; GWAS; covariate adjustment; site effects; batch correction,Imaging genetics introduction; MRI phenotype processing; GWAS walkthrough,brain MRI imaging genetics GWAS phenotype harmonization neuroimaging,projects/project02/papers.md,projects/project02/code.md,projects/project02/videos.md,projects/project02/peers.md,projects/project02/index.md
project03,Project 3: OpenTFUS,OpenTFUS,"Proteomics data processing and QC for Olink NPX measurements, with attention to plate effects, normalization, and reproducibility.",Active,Nora Ahmed; Ryan Brown; Harshitha Rao,Olink; Proteomics; NPX; Batch effects,Olink NPX normalization; Proteomics batch correction; Protein QC methods,OlinkAnalyze; NPX; ComBat; limma; plate effect; LOD; protein QC,Olink data overview; NPX QC tutorial; Proteomics batch correction,Olink proteomics NPX plate batch intensity normalization ComBat limma LOD,projects/project03/papers.md,projects/project03/code.md,projects/project03/videos.md,projects/project03/peers.md,projects/project03/index.md
project04,Project 4: NeuroRover,NeuroRover,"Methods for SNP heritability estimation using HE regression, REML, LDSC, and adjusted HE approaches.",Drafting,Wei Zhang; Lin Chen; Sandra Safo,Heritability; HE regression; LDSC; REML,Haseman-Elston regression; LDSC heritability; Adjusted HE regression; Variance component models,HE regression; REML; GCTA; LDSC; AdjHE; PC adjustment; random effects,Heritability overview; HE regression derivation; LDSC tutorial,SNP heritability variance components HE LDSC REML GCTA AdjHE,projects/project04/papers.md,projects/project04/code.md,projects/project04/videos.md,projects/project04/peers.md,projects/project04/index.md
project05,Project 5: Neuromed,Neuromed,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project05/papers.md,projects/project05/code.md,projects/project05/videos.md,projects/project05/peers.md,projects/project05/index.md
project06,Project 6: Brain2Image,Brain2Image,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project06/papers.md,projects/project06/code.md,projects/project06/videos.md,projects/project06/peers.md,projects/project06/index.md
project07,Project 7: CortexCodec,CortexCodec,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project07/papers.md,projects/project07/code.md,projects/project07/videos.md,projects/project07/peers.md,projects/project07/index.md
project08,Project 8: Neurowalker,Neurowalker,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project08/papers.md,projects/project08/code.md,projects/project08/videos.md,projects/project08/peers.md,projects/project08/index.md
project09,Project 9: Neuromarketing,Neuromarketing,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project09/papers.md,projects/project09/code.md,projects/project09/videos.md,projects/project09/peers.md,projects/project09/index.md
project10,Project 10: Research & Apply,Research & Apply,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project10/papers.md,projects/project10/code.md,projects/project10/videos.md,projects/project10/peers.md,projects/project10/index.md
project11,Project 11: Brainwaves,Brainwaves,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project11/papers.md,projects/project11/code.md,projects/project11/videos.md,projects/project11/peers.md,projects/project11/index.md
project12,Project 12: Neurify,Neurify,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project12/papers.md,projects/project12/code.md,projects/project12/videos.md,projects/project12/peers.md,projects/project12/index.md
project13,Project 13: Neurobot,Neurobot,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project13/papers.md,projects/project13/code.md,projects/project13/videos.md,projects/project13/peers.md,projects/project13/index.md
project14,Project 14: Magazine,Magazine,"Short project description goes here. Add the scientific goal, data source, workflow, and main deliverables.",Not started,Peer 1; Peer 2; Peer 3,Topic 1; Topic 2; Topic 3,Main paper title; Background paper title; Methods paper title,R; Quarto; workflow; analysis script; reproducibility,Project overview video; Code walkthrough video; Tutorial video,add custom keywords here for search,projects/project14/papers.md,projects/project14/code.md,projects/project14/videos.md,projects/project14/peers.md,projects/project14/index.md
